timestamp,CO2,T,HR
2025-02-11 15:20:18,518.1503,30.864,35.8063
2025-02-11 15:21:18,518.7889,30.9201,35.9497
2025-02-11 15:22:18,518.7381,30.9201,35.9207
2025-02-11 15:23:18,521.5091,30.9335,35.936
2025-02-11 15:24:18,522.3403,30.9468,36.0214
2025-02-11 15:25:18,530.2849,30.9335,35.994
2025-02-11 15:26:18,536.459,30.9201,35.9634
2025-02-11 15:27:18,535.6656,30.9335,35.8536
2025-02-11 15:28:18,534.5054,30.9335,35.994
2025-02-11 15:29:18,537.21,30.9628,36.0229
2025-02-11 15:30:18,541.9827,30.9628,36.0229
2025-02-11 15:31:18,543.6794,30.9468,36.0489
2025-02-11 15:32:18,542.4561,30.9762,36.0367
2025-02-11 15:33:18,546.1061,30.9895,35.9985
2025-02-11 15:34:18,545.7979,30.9895,35.9985
2025-02-11 15:35:18,544.169,30.9895,35.9985
2025-02-11 15:36:18,543.35,30.9895,36.0397
2025-02-11 15:37:18,543.7675,31.0029,36.0825
2025-02-11 15:38:18,541.1948,30.9895,36.0397
2025-02-11 15:39:18,539.7166,31.0029,36.1237
2025-02-11 15:40:18,540.4507,31.0189,36.0992
2025-02-11 15:41:18,539.8353,31.0189,36.055
2025-02-11 15:42:18,537.8019,31.0189,36.055
2025-02-11 15:43:18,538.4594,31.0029,36.0001
2025-02-11 15:44:18,539.0906,31.0189,36.0413
2025-02-11 15:45:18,540.6476,30.9895,36.0535
2025-02-11 15:46:18,540.9504,30.9895,36.0535
2025-02-11 15:47:18,538.5073,31.0189,36.0168
2025-02-11 15:48:18,537.0944,31.0189,36.0718
2025-02-11 15:49:18,534.1207,31.0349,36.1008
2025-02-11 15:50:18,535.1638,31.0029,36.113
2025-02-11 15:51:18,533.314,31.0349,36.1404
2025-02-11 15:52:18,533.9999,31.0189,36.1816
2025-02-11 15:53:18,533.7221,31.0189,36.1237
2025-02-11 15:54:18,534.0792,31.0349,36.2091
2025-02-11 15:55:18,532.1494,31.0349,36.1404
2025-02-11 15:56:18,532.7339,31.0029,36.113
2025-02-11 15:57:19,531.5234,31.0029,36.1954
2025-02-11 15:58:19,529.9945,31.0029,36.1649
2025-02-11 15:59:19,526.8964,30.9895,36.2473
2025-02-11 16:00:19,525.8547,31.0029,36.2503
2025-02-11 16:01:19,522.0004,31.0189,36.2366
2025-02-11 16:02:19,521.9915,31.0349,36.2244
2025-02-11 16:03:19,525.0891,31.0029,36.2503
2025-02-11 16:04:19,523.2097,31.0189,36.2503
2025-02-11 16:05:19,522.2675,31.0189,36.2503
2025-02-11 16:06:19,523.8047,31.0189,36.2366
2025-02-11 16:07:19,519.4377,31.0189,36.1969
2025-02-11 16:08:19,521.735,31.0029,36.2198
2025-02-11 16:09:19,522.1266,31.0189,36.2656
2025-02-11 16:10:19,522.9513,31.0029,36.3052
2025-02-11 16:11:19,522.7619,31.0029,36.264
2025-02-11 16:12:19,519.8204,31.0029,36.1954
2025-02-11 16:13:19,521.0215,31.0483,36.2106
2025-02-11 16:14:19,520.9826,31.0029,36.2198
2025-02-11 16:15:19,521.7867,31.0189,36.2503
2025-02-11 16:16:19,519.9763,31.0189,36.3052
2025-02-11 16:17:19,517.0814,31.0349,36.2961
2025-02-11 16:18:19,515.0193,31.0349,36.3205
2025-02-11 16:19:19,515.2576,31.0483,36.3068
2025-02-11 16:20:19,515.8504,31.0349,36.3205
2025-02-11 16:21:19,514.3904,31.0483,36.3373
2025-02-11 16:22:19,512.0193,31.0189,36.3052
2025-02-11 16:23:19,509.9607,31.0189,36.3754
2025-02-11 16:24:19,511.7701,31.0189,36.348
2025-02-11 16:25:19,509.1654,31.0349,36.3205
2025-02-11 16:26:19,511.5305,31.0189,36.348
2025-02-11 16:27:19,511.6446,31.0349,36.3922
2025-02-11 16:28:19,511.2647,31.0349,36.348
2025-02-11 16:29:19,509.1147,31.0349,36.4029
2025-02-11 16:30:19,506.6884,31.0349,36.3785
2025-02-11 16:31:20,505.3099,31.0483,36.3937
2025-02-11 16:32:20,504.5561,31.0189,36.4441
2025-02-11 16:33:20,503.3181,31.0189,36.4166
2025-02-11 16:34:20,505.3799,31.0483,36.4059
2025-02-11 16:35:20,507.1069,31.0483,36.3785
2025-02-11 16:36:20,505.2177,31.0349,36.3205
2025-02-11 16:37:20,506.6213,31.0483,36.4471
2025-02-11 16:38:20,504.46,31.0483,36.4197
2025-02-11 16:39:20,505.9547,31.0483,36.4197
